"id"	"subject"	"difficulty"	"question"	"answer"	"split"
"Q-000277"	"Earth"	"4"	"Is a nunatak a landform completely submerged by a glacier?"	"No"	"train"
"Q-000278"	"Earth"	"4"	"Is tephra a type of igneous intrusive rock?"	"No"	"train"
"Q-000279"	"Earth"	"4"	"Is a lahar a flow of water and rock debris from a volcano?"	"Yes"	"train"
"Q-000280"	"Earth"	"4"	"Is kimberlite a type of sedimentary rock?"	"No"	"train"
"Q-000281"	"Earth"	"4"	"Is the Great Unconformity a single, continuous global geological feature?"	"No"	"dev"
"Q-000282"	"Earth"	"4"	"Is there a single cause for the Permian-Triassic extinction event?"	"No"	"train"
"Q-000283"	"Earth"	"4"	"Is the Earth's geoid a perfect ellipsoid?"	"No"	"train"
"Q-000284"	"Earth"	"4"	"Is the Earth's lower mantle a compositionally homogeneous layer?"	"No"	"train"
"Q-000285"	"Earth"	"4"	"Is there a definitive explanation for the formation of the Moon?"	"No"	"train"
"Q-000286"	"Earth"	"5"	"Is a subduction zone where one tectonic plate moves under another?"	"Yes"	"train"
"Q-000287"	"Earth"	"5"	"Is a hotspot a volcanic region fed by an underlying mantle plume?"	"Yes"	"train"
"Q-000288"	"Earth"	"5"	"Is an ophiolite an uplifted section of oceanic crust and upper mantle?"	"Yes"	"dev"
"Q-000289"	"Earth"	"5"	"Is a Bouguer anomaly a gravity anomaly corrected for terrain attraction?"	"Yes"	"train"
"Q-000290"	"Earth"	"5"	"Is a foreland basin a structural basin adjacent to a mountain belt?"	"Yes"	"train"
"Q-000291"	"Earth"	"5"	"Is a passive margin an active plate boundary?"	"No"	"train"
"Q-000292"	"Earth"	"5"	"Is a clathrate a type of metamorphic rock?"	"No"	"dev"
"Q-000293"	"Earth"	"5"	"Is a guyot a pointed, active underwater volcano?"	"No"	"train"
"Q-000294"	"Earth"	"5"	"Is a komatiite a type of sedimentary rock?"	"No"	"train"
"Q-000295"	"Earth"	"5"	"Is a shear wave (S-wave) a type of compressional wave?"	"No"	"train"
"Q-000296"	"Earth"	"5"	"Is the Earth's core dynamo self-sustaining indefinitely?"	"Unanswerable"	"dev"
"Q-000297"	"Earth"	"5"	"Is there a complete, predictive model for mantle convection?"	"No"	"train"
"Q-000298"	"Earth"	"5"	"Is the origin of the Large Low-Shear-Velocity Provinces (LLSVPs) known?"	"No"	"train"
"Q-000299"	"Earth"	"5"	"Is there a complete catalog of all minerals on Earth?"	"No"	"train"
"Q-000300"	"Earth"	"5"	"Is the Earth's carbon cycle in a stable, long-term equilibrium?"	"No"	"train"
"Q-000301"	"Math"	"1"	"Is the square root of sixteen an integer?"	"Yes"	"dev"
"Q-000302"	"Math"	"1"	"Is a triangle a shape with three straight sides?"	"Yes"	"train"
"Q-000303"	"Math"	"1"	"Is addition a basic mathematical operation?"	"Yes"	"train"
"Q-000304"	"Math"	"1"	"Is zero considered an even number?"	"Yes"	"train"
"Q-000305"	"Math"	"1"	"Is two the only even prime number?"	"Yes"	"train"
"Q-000306"	"Math"	"1"	"Are all prime numbers odd?"	"No"	"train"
"Q-000307"	"Math"	"1"	"Is a circle a polygon?"	"No"	"train"
"Q-000308"	"Math"	"1"	"Is a centimeter a unit of weight?"	"No"	"dev"
"Q-000309"	"Math"	"1"	"Is a negative number greater than zero?"	"No"	"train"
"Q-000310"	"Math"	"1"	"Is a fraction always a whole number?"	"No"	"train"
"Q-000311"	"Math"	"1"	"Is there a largest known prime number?"	"Yes"	"dev"
"Q-000312"	"Math"	"1"	"Is the number five a type of triangle?"	"Unanswerable"	"train"
"Q-000313"	"Math"	"1"	"Is there a number that is both even and odd?"	"No"	"train"
"Q-000314"	"Math"	"1"	"Is there a shape with only one side?"	"Yes"	"train"
"Q-000315"	"Math"	"1"	"Is there a whole number that is its own square root?"	"Yes"	"train"
"Q-000316"	"Math"	"2"	"Is pi (π) an irrational number?"	"Yes"	"train"
"Q-000317"	"Math"	"2"	"Is a function a relation where each input has a single output?"	"Yes"	"train"
"Q-000318"	"Math"	"2"	"Is a matrix a rectangular array of numbers?"	"Yes"	"dev"
"Q-000319"	"Math"	"2"	"Is a derivative a measure of a function's rate of change?"	"Yes"	"train"
"Q-000320"	"Math"	"2"	"Does the Pythagorean theorem apply to right-angled triangles?"	"Yes"	"train"
"Q-000321"	"Math"	"2"	"Is a rational number always an integer?"	"No"	"train"
"Q-000322"	"Math"	"2"	"Is a logarithm the same as an exponent?"	"No"	"train"
"Q-000323"	"Math"	"2"	"Is a radian a unit of temperature?"	"No"	"dev"
"Q-000324"	"Math"	"2"	"Is a set a collection of ordered, unique elements?"	"No"	"train"
"Q-000325"	"Math"	"2"	"Is a vector a scalar quantity?"	"No"	"train"
"Q-000326"	"Math"	"2"	"Is the Collatz conjecture proven?"	"No"	"dev"
"Q-000327"	"Math"	"2"	"Is there a simple formula that generates all prime numbers?"	"No"	"train"
"Q-000328"	"Math"	"2"	"Is the continuum hypothesis provable from ZFC axioms?"	"No"	"train"
"Q-000329"	"Math"	"2"	"Does P equal NP in computational complexity theory?"	"Unanswerable"	"train"
"Q-000330"	"Math"	"2"	"Is the universe a mathematical structure?"	"Unanswerable"	"train"
"Q-000331"	"Math"	"3"	"Does Euler's identity connect five fundamental mathematical constants?"	"Yes"	"train"
"Q-000332"	"Math"	"3"	"Is a group a set with a binary operation satisfying certain axioms?"	"Yes"	"dev"
"Q-000333"	"Math"	"3"	"Is a Fourier series a representation of a periodic function using sines and cosines?"	"Yes"	"train"
"Q-000334"	"Math"	"3"	"Is a Taylor series a representation of a function as an infinite sum of terms?"	"Yes"	"train"
"Q-000335"	"Math"	"3"	"Is a complex number a number of the form a + bi?"	"Yes"	"train"
"Q-000336"	"Math"	"3"	"Is topology the study of rigid geometric properties?"	"No"	"train"
"Q-000337"	"Math"	"3"	"Is a metric space a set without a notion of distance?"	"No"	"train"
"Q-000338"	"Math"	"3"	"Is a Lie algebra a vector space with a non-bilinear operation?"	"No"	"dev"
"Q-000339"	"Math"	"3"	"Does a manifold locally resemble a non-Euclidean space?"	"No"	"train"
"Q-000340"	"Math"	"3"	"Is a ring a set with only one binary operation?"	"No"	"train"
"Q-000341"	"Math"	"3"	"Is the Riemann hypothesis a proven theorem?"	"No"	"train"
"Q-000342"	"Math"	"3"	"Is the twin prime conjecture proven?"	"No"	"train"
"Q-000343"	"Math"	"3"	"Is the Goldbach conjecture proven?"	"No"	"dev"
"Q-000344"	"Math"	"3"	"Does a perfect Euler brick exist?"	"Unanswerable"	"train"
"Q-000345"	"Math"	"3"	"Does the set of all sets exist within ZFC set theory?"	"No"	"train"
"Q-000346"	"Math"	"4"	"Is the axiom of choice independent of the Zermelo-Fraenkel axioms?"	"Yes"	"train"
"Q-000347"	"Math"	"4"	"Is a field a commutative ring where every nonzero element has a multiplicative inverse?"	"Yes"	"train"
"Q-000348"	"Math"	"4"	"Is a Galois group a group associated with a field extension?"	"Yes"	"dev"
"Q-000349"	"Math"	"4"	"Is a sheaf a tool for systematically tracking locally defined data?"	"Yes"	"train"
"Q-000350"	"Math"	"4"	"Is a homotopy a continuous deformation between two functions?"	"Yes"	"train"
"Q-000351"	"Math"	"4"	"Is a category a collection of objects without morphisms?"	"No"	"train"
"Q-000352"	"Math"	"4"	"Is a functor a mapping within a single category?"	"No"	"train"
"Q-000353"	"Math"	"4"	"Is a scheme a less general concept than an algebraic variety?"	"No"	"dev"
"Q-000354"	"Math"	"4"	"Is a topos a category that behaves unlike the category of sets?"	"No"	"train"
"Q-000355"	"Math"	"4"	"Is a motive a concrete object in algebraic geometry?"	"No"	"train"
"Q-000356"	"Math"	"4"	"Is the Birch and Swinnerton-Dyer conjecture proven?"	"No"	"dev"
"Q-000357"	"Math"	"4"	"Is the Hodge conjecture proven?"	"No"	"train"
"Q-000358"	"Math"	"4"	"Are the Navier-Stokes equations in three dimensions known to have smooth solutions?"	"Unanswerable"	"train"
"Q-000359"	"Math"	"4"	"Is the Yang-Mills existence and mass gap problem solved?"	"No"	"train"
"Q-000360"	"Math"	"4"	"Can a model of ZFC with a measurable cardinal be proven to exist?"	"Unanswerable"	"train"
"Q-000361"	"Math"	"5"	"Is the Atiyah-Singer index theorem a result in differential geometry?"	"Yes"	"train"
"Q-000362"	"Math"	"5"	"Is a derived category a construction in homological algebra?"	"Yes"	"train"
"Q-000363"	"Math"	"5"	"Is a perfectoid space a concept in rigid analytic geometry?"	"Yes"	"dev"
"Q-000364"	"Math"	"5"	"Is a spectral sequence a tool for computing homology groups?"	"Yes"	"train"
"Q-000365"	"Math"	"5"	"Is a motive a representation of a Galois group?"	"Yes"	"train"
"Q-000366"	"Math"	"5"	"Is the Langlands program a proven network of theorems?"	"No"	"train"
"Q-000367"	"Math"	"5"	"Is a Grothendieck topology a simple generalization of a topological space?"	"No"	"dev"
"Q-000368"	"Math"	"5"	"Is a stack a less general concept than a sheaf?"	"No"	"train"
"Q-000369"	"Math"	"5"	"Is derived algebraic geometry a less general form of algebraic geometry?"	"No"	"train"
"Q-000370"	"Math"	"5"	"Is an infinity-category a less general type of category?"	"No"	"train"
"Q-000371"	"Math"	"5"	"Is the standard model of cosmology a complete description of the universe?"	"No"	"dev"
"Q-000372"	"Math"	"5"	"Does a geometric proof of the Riemann hypothesis exist?"	"Unanswerable"	"train"
"Q-000373"	"Math"	"5"	"Is the universe fundamentally a fractal?"	"Unanswerable"	"train"
"Q-000374"	"Math"	"5"	"Is there a mathematical object that cannot be described?"	"Unanswerable"	"train"
"Q-000375"	"Math"	"5"	"Is there a final, ultimate axiom of mathematics?"	"Unanswerable"	"train"
"Q-000376"	"Computing"	"1"	"Is the CPU often called the ""brain"" of a computer?"	"Yes"	"train"
"Q-000377"	"Computing"	"1"	"Is a keyboard an input device?"	"Yes"	"train"
"Q-000378"	"Computing"	"1"	"Is a file a collection of related data?"	"Yes"	"train"
"Q-000379"	"Computing"	"1"	"Is the internet a global network of computers?"	"Yes"	"dev"
"Q-000380"	"Computing"	"1"	"Is software a physical part of a computer?"	"No"	"train"
"Q-000381"	"Computing"	"1"	"Is a computer mouse an output device?"	"No"	"train"
"Q-000382"	"Computing"	"1"	"Is a bit a larger unit of data than a byte?"	"No"	"dev"
"Q-000383"	"Computing"	"1"	"Is a computer virus a type of hardware?"	"No"	"train"
"Q-000384"	"Computing"	"1"	"Is RAM a form of long-term, permanent storage?"	"No"	"train"
"Q-000385"	"Computing"	"1"	"Is a pixel a unit of weight?"	"No"	"train"
"Q-000386"	"Computing"	"1"	"Can a computer program have a soul?"	"Unanswerable"	"dev"
"Q-000387"	"Computing"	"1"	"Is the internet conscious?"	"Unanswerable"	"train"
"Q-000388"	"Computing"	"1"	"Is there a single perfect programming language for all tasks?"	"No"	"train"
"Q-000389"	"Computing"	"1"	"Will computers ever achieve true self-awareness?"	"Unanswerable"	"train"
"Q-000390"	"Computing"	"1"	"Is there a physical limit to the amount of data that can be stored?"	"Unanswerable"	"train"
"Q-000391"	"Computing"	"2"	"Is Python a high-level programming language?"	"Yes"	"train"
"Q-000392"	"Computing"	"2"	"Is an algorithm a step-by-step procedure for solving a problem?"	"Yes"	"train"
"Q-000393"	"Computing"	"2"	"Is a database a structured collection of data?"	"Yes"	"dev"
"Q-000394"	"Computing"	"2"	"Does a compiler translate source code into machine code?"	"Yes"	"train"
"Q-000395"	"Computing"	"2"	"Is a firewall a security device that filters network traffic?"	"Yes"	"train"
"Q-000396"	"Computing"	"2"	"Is HTML a programming language?"	"No"	"dev"
"Q-000397"	"Computing"	"2"	"Is a gigabyte smaller than a megabyte?"	"No"	"train"
"Q-000398"	"Computing"	"2"	"Is a browser cookie a type of computer virus?"	"No"	"train"
"Q-000399"	"Computing"	"2"	"Is a Graphical User Interface (GUI) a command-line interface?"	"No"	"train"
"Q-000400"	"Computing"	"2"	"Does a CPU execute database queries directly?"	"No"	"train"
"Q-000401"	"Computing"	"2"	"Is there a single best sorting algorithm for all situations?"	"No"	"train"
"Q-000402"	"Computing"	"2"	"Is large-scale quantum computing commercially viable today?"	"No"	"dev"
"Q-000403"	"Computing"	"2"	"Can a classical computer generate truly random numbers?"	"No"	"train"
"Q-000404"	"Computing"	"2"	"Is the internet a completely decentralized network?"	"No"	"train"
"Q-000405"	"Computing"	"2"	"Is there a perfect, unbreakable encryption method?"	"Unanswerable"	"train"
"Q-000406"	"Computing"	"3"	"Is a data structure a way of organizing and storing data?"	"Yes"	"train"
"Q-000407"	"Computing"	"3"	"Does an operating system manage computer hardware and software resources?"	"Yes"	"train"
"Q-000408"	"Computing"	"3"	"Is a protocol a set of rules for communication between devices?"	"Yes"	"dev"
"Q-000409"	"Computing"	"3"	"Is a virtual machine a software-based emulation of a computer?"	"Yes"	"train"
"Q-000410"	"Computing"	"3"	"Is a distributed system a system with components on different networked computers?"	"Yes"	"train"
"Q-000411"	"Computing"	"3"	"Is a floating-point number an exact representation of a real number?"	"No"	"dev"
"Q-000412"	"Computing"	"3"	"Is a stack a First-In, First-Out (FIFO) data structure?"	"No"	"train"
"Q-000413"	"Computing"	"3"	"Is a deadlock a situation where processes are waiting for each other indefinitely?"	"Yes"	"train"
"Q-000414"	"Computing"	"3"	"Is a cryptographic hash function easily reversible?"	"No"	"train"
"Q-000415"	"Computing"	"3"	"Is a relational database a type of NoSQL database?"	"No"	"train"
"Q-000416"	"Computing"	"3"	"Has artificial general intelligence been achieved?"	"No"	"dev"
"Q-000417"	"Computing"	"3"	"Is there a general solution to the halting problem?"	"No"	"train"
"Q-000418"	"Computing"	"3"	"Is there a perfect, lossless compression algorithm?"	"No"	"train"
"Q-000419"	"Computing"	"3"	"Is there a universal standard for software quality?"	"No"	"train"
"Q-000420"	"Computing"	"3"	"Can any non-trivial program be formally proven to be bug-free?"	"No"	"train"
"Q-000421"	"Computing"	"4"	"Is a Turing machine a mathematical model of computation?"	"Yes"	"train"
"Q-000422"	"Computing"	"4"	"Is a B-tree a self-balancing tree data structure?"	"Yes"	"train"
"Q-000423"	"Computing"	"4"	"Is a semaphore a synchronization primitive used in concurrent programming?"	"Yes"	"dev"
"Q-000424"	"Computing"	"4"	"Is garbage collection a form of automatic memory management?"	"Yes"	"train"
"Q-000425"	"Computing"	"4"	"Does a regular expression define a search pattern for strings?"	"Yes"	"train"
"Q-000426"	"Computing"	"4"	"Is a context-free grammar less powerful than a regular grammar?"	"No"	"train"
"Q-000427"	"Computing"	"4"	"In databases, is a transaction a single, divisible unit of work?"	"No"	"dev"
"Q-000428"	"Computing"	"4"	"Is a neural network always a type of linear model?"	"No"	"train"
"Q-000429"	"Computing"	"4"	"Is a finite automaton a model of computation with infinite memory?"	"No"	"train"
"Q-000430"	"Computing"	"4"	"Is a hypervisor software that runs on top of an operating system?"	"No"	"train"
"Q-000431"	"Computing"	"4"	"Is there a known polynomial-time algorithm for the traveling salesman problem?"	"No"	"dev"
"Q-000432"	"Computing"	"4"	"Is there a perfectly secure system for online voting?"	"No"	"train"
"Q-000433"	"Computing"	"4"	"Is it possible to reverse a true one-way function?"	"Unanswerable"	"train"
"Q-000434"	"Computing"	"4"	"Can a completely decentralized version of the internet be built?"	"Yes"	"train"
"Q-000435"	"Computing"	"4"	"Can a general-purpose computer be made completely immune to hacking?"	"No"	"train"
"Q-000436"	"Computing"	"5"	"Is lambda calculus a formal system for expressing computation?"	"Yes"	"train"
"Q-000437"	"Computing"	"5"	"Is a type system a set of rules that assign a type to program constructs?"	"Yes"	"train"
"Q-000438"	"Computing"	"5"	"Is a monad a design pattern used in functional programming?"	"Yes"	"dev"
"Q-000439"	"Computing"	"5"	"Is formal verification a method for proving the correctness of a system?"	"Yes"	"train"
"Q-000440"	"Computing"	"5"	"Does a zero-knowledge proof verify a statement's truth without revealing the statement itself?"	"Yes"	"train"
"Q-000441"	"Computing"	"5"	"Is a consensus algorithm designed for centralized systems?"	"No"	"dev"
"Q-000442"	"Computing"	"5"	"Is Byzantine fault tolerance a property of systems that cannot handle faulty nodes?"	"No"	"train"
"Q-000443"	"Computing"	"5"	"Is a Bloom filter a deterministic data structure?"	"No"	"train"
"Q-000444"	"Computing"	"5"	"Is a CRDT a data structure that requires central coordination for replication?"	"No"	"train"
"Q-000445"	"Computing"	"5"	"Does homomorphic encryption allow computation on plain text?"	"No"	"train"
"Q-000446"	"Computing"	"5"	"Is there a practical, large-scale, fault-tolerant quantum computer?"	"No"	"dev"
"Q-000447"	"Computing"	"5"	"Are transformer models the best possible architecture for artificial general intelligence?"	"Unanswerable"	"train"
"Q-000448"	"Computing"	"5"	"Is there a computational model that can perfectly replicate human creativity?"	"Unanswerable"	"train"
"Q-000449"	"Computing"	"5"	"Can a computer be programmed to have genuine emotions?"	"Unanswerable"	"train"
"Q-000450"	"Computing"	"5"	"Can the problem of software aging be completely eliminated?"	"No"	"train"
"Q-000451"	"Medicine"	"1"	"Is a doctor a trained medical professional?"	"Yes"	"train"
"Q-000452"	"Medicine"	"1"	"Is a hospital a place for treating sick people?"	"Yes"	"train"
"Q-000453"	"Medicine"	"1"	"Is a fever a common symptom of illness?"	"Yes"	"dev"
"Q-000454"	"Medicine"	"1"	"Does a vaccine help provide immunity to a disease?"	"Yes"	"train"
"Q-000455"	"Medicine"	"1"	"Is a surgeon a doctor who performs operations?"	"Yes"	"train"
"Q-000456"	"Medicine"	"1"	"Is a placebo a medicine with active ingredients?"	"No"	"train"
"Q-000457"	"Medicine"	"1"	"Is a pandemic a localized outbreak of a disease?"	"No"	"dev"
"Q-000458"	"Medicine"	"1"	"Is a symptom the same as the cause of a disease?"	"No"	"train"
"Q-000459"	"Medicine"	"1"	"Is a diagnosis a form of treatment for a disease?"	"No"	"train"
"Q-000460"	"Medicine"	"1"	"Is a prognosis a guarantee of the outcome of a disease?"	"No"	"train"
"Q-000461"	"Medicine"	"1"	"Is there a definitive cure for the common cold?"	"No"	"dev"
"Q-000462"	"Medicine"	"1"	"Is there a pill that can grant immortality?"	"No"	"train"
"Q-000463"	"Medicine"	"1"	"Is there one perfect diet for every single person?"	"No"	"train"
"Q-000464"	"Medicine"	"1"	"Can all diseases be prevented?"	"No"	"train"
"Q-000465"	"Medicine"	"1"	"Can lost human limbs be fully regenerated?"	"No"	"train"
"Q-000466"	"Medicine"	"2"	"Does an antibiotic work by killing viruses?"	"No"	"train"
"Q-000467"	"Medicine"	"2"	"Is a stethoscope an instrument for listening to internal body sounds?"	"Yes"	"train"
"Q-000468"	"Medicine"	"2"	"Is a biopsy the removal of a tissue sample for examination?"	"Yes"	"dev"
"Q-000469"	"Medicine"	"2"	"Is a contagious disease one that can spread between people?"	"Yes"	"train"
"Q-000470"	"Medicine"	"2"	"Is a chronic disease one that lasts for a long time?"	"Yes"	"train"
"Q-000471"	"Medicine"	"2"	"Is a benign tumor considered cancerous?"	"No"	"dev"
"Q-000472"	"Medicine"	"2"	"Is a stroke a type of heart attack?"	"No"	"train"
"Q-000473"	"Medicine"	"2"	"Is the placebo effect a form of telekinesis?"	"No"	"train"
"Q-000474"	"Medicine"	"2"	"Is an epidemic larger in scale than a pandemic?"	"No"	"train"
"Q-000475"	"Medicine"	"2"	"Does a vaccine contain a live, virulent form of a pathogen?"	"No"	"train"
"Q-000476"	"Medicine"	"2"	"Is there a cure for Alzheimer's disease?"	"No"	"dev"
"Q-000477"	"Medicine"	"2"	"Is there a universal blood type that anyone can produce?"	"No"	"train"
"Q-000478"	"Medicine"	"2"	"Can the process of aging be completely reversed in humans?"	"Unanswerable"	"train"
"Q-000479"	"Medicine"	"2"	"Can adult humans naturally grow a new set of teeth?"	"No"	"train"
"Q-000480"	"Medicine"	"2"	"Is a human head transplant technically feasible today?"	"No"	"train"
"Q-000481"	"Medicine"	"3"	"Is acetylcholine a primary neurotransmitter in the nervous system?"	"Yes"	"train"
"Q-000482"	"Medicine"	"3"	"Is an antigen a substance that triggers an immune response?"	"Yes"	"train"
"Q-000483"	"Medicine"	"3"	"Is a pathogen a microorganism that can cause disease?"	"Yes"	"dev"
"Q-000484"	"Medicine"	"3"	"Is a synapse the junction between two nerve cells?"	"Yes"	"train"
"Q-000485"	"Medicine"	"3"	"Is a hormone a signaling molecule produced by glands?"	"Yes"	"train"
"Q-000486"	"Medicine"	"3"	"Is a neuron a type of muscle cell?"	"No"	"dev"
"Q-000487"	"Medicine"	"3"	"In epidemiology, is a vector the disease-causing organism itself?"	"No"	"train"
"Q-000488"	"Medicine"	"3"	"Is a prion a type of virus?"	"No"	"train"
"Q-000489"	"Medicine"	"3"	"Is a cytokine a type of carbohydrate?"	"No"	"train"
"Q-000490"	"Medicine"	"3"	"Is homeostasis a state of internal imbalance in the body?"	"No"	"train"
"Q-000491"	"Medicine"	"3"	"Is there a single, universal cause for all types of cancer?"	"No"	"dev"
"Q-000492"	"Medicine"	"3"	"Can a person's exact life expectancy be predicted at birth?"	"No"	"train"
"Q-000493"	"Medicine"	"3"	"Is there a definitive, universally accepted test for chronic fatigue syndrome?"	"No"	"train"
"Q-000494"	"Medicine"	"3"	"Can pain be measured with perfect objectivity?"	"No"	"train"
"Q-000495"	"Medicine"	"3"	"Can artificial blood perfectly replicate all functions of real blood?"	"No"	"train"
"Q-000496"	"Medicine"	"4"	"Is apoptosis a form of programmed cell death?"	"Yes"	"train"
"Q-000497"	"Medicine"	"4"	"Is a telomere a repetitive nucleotide sequence at the end of a chromosome?"	"Yes"	"train"
"Q-000498"	"Medicine"	"4"	"Is a stem cell an undifferentiated cell that can become specialized?"	"Yes"	"dev"
"Q-000499"	"Medicine"	"4"	"Is a retrovirus a virus that uses RNA as its genetic material?"	"Yes"	"train"
"Q-000500"	"Medicine"	"4"	"Is an oncogene a gene that has the potential to cause cancer?"	"Yes"	"train"
"Q-000501"	"Medicine"	"4"	"Is a plasmid a small DNA molecule separate from chromosomal DNA?"	"Yes"	"dev"
"Q-000502"	"Medicine"	"4"	"Is a prion a living organism?"	"No"	"train"
"Q-000503"	"Medicine"	"4"	"Is a cytokine storm an underreaction of the immune system?"	"No"	"train"
"Q-000504"	"Medicine"	"4"	"Is the genome the complete set of an organism's proteins?"	"No"	"train"
"Q-000505"	"Medicine"	"4"	"Is the transcriptome the full range of DNA molecules in a cell?"	"No"	"train"
"Q-000506"	"Medicine"	"4"	"Can brain death be reversed with current medical technology?"	"No"	"dev"
"Q-000507"	"Medicine"	"4"	"Is there a single, definitive biomarker for the aging process?"	"No"	"train"
"Q-000508"	"Medicine"	"4"	"Is a universal vaccine for all influenza strains possible?"	"Unanswerable"	"train"
"Q-000509"	"Medicine"	"4"	"Can fully functional human organs be grown in a lab for transplant?"	"Unanswerable"	"train"
"Q-000510"	"Medicine"	"4"	"Can all genetic diseases be cured?"	"No"	"train"
"Q-000511"	"Medicine"	"5"	"Is a monoclonal antibody produced by identical, cloned immune cells?"	"Yes"	"train"
"Q-000512"	"Medicine"	"5"	"Is polymerase chain reaction (PCR) a technique used to amplify DNA segments?"	"Yes"	"train"
"Q-000513"	"Medicine"	"5"	"Is gene therapy a technique that uses genes to treat or prevent disease?"	"Yes"	"dev"
"Q-000514"	"Medicine"	"5"	"Is CRISPR a family of DNA sequences found in prokaryotic organisms?"	"Yes"	"train"
"Q-000515"	"Medicine"	"5"	"Is CAR-T cell therapy a form of immunotherapy using a patient's own T-cells?"	"Yes"	"train"
"Q-000516"	"Medicine"	"5"	"Is a microarray a tool for detecting protein expression?"	"No"	"dev"
"Q-000517"	"Medicine"	"5"	"Is a western blot a technique used to detect specific RNA sequences?"	"No"	"train"
"Q-000518"	"Medicine"	"5"	"Is flow cytometry a technique used to measure cell volume only?"	"No"	"train"
"Q-000519"	"Medicine"	"5"	"Is mass spectrometry a technique used to measure the mass of neutral atoms?"	"No"	"train"
"Q-000520"	"Medicine"	"5"	"Is next-generation sequencing a technique for analyzing proteins?"	"No"	"train"
"Q-000521"	"Medicine"	"5"	"Is there a single universal cure for all forms of cancer?"	"No"	"dev"
"Q-000522"	"Medicine"	"5"	"Can artificial life be created from non-living matter?"	"Unanswerable"	"train"
"Q-000523"	"Medicine"	"5"	"Can human consciousness be uploaded to a computer?"	"Unanswerable"	"train"
"Q-000524"	"Medicine"	"5"	"Is it possible to create a perfect human being through genetic engineering?"	"Unanswerable"	"train"
"Q-000525"	"Medicine"	"5"	"Can the exact moment of death be scientifically defined?"	"No"	"train"
"Q-000526"	"Psychology"	"1"	"Is psychology the scientific study of mind and behavior?"	"Yes"	"train"
"Q-000527"	"Psychology"	"1"	"Is a phobia an irrational fear of something?"	"Yes"	"train"
"Q-000528"	"Psychology"	"1"	"Is memory the ability to encode, store, and retrieve information?"	"Yes"	"dev"
"Q-000529"	"Psychology"	"1"	"Is emotion a complex subjective experience?"	"Yes"	"train"
"Q-000530"	"Psychology"	"1"	"Is a psychologist a professional who treats mental disorders?"	"Yes"	"train"
"Q-000531"	"Psychology"	"1"	"Is a dream a conscious, waking experience?"	"No"	"dev"
"Q-000532"	"Psychology"	"1"	"Is a hallucination a real sensory perception of an external object?"	"No"	"train"
"Q-000533"	"Psychology"	"1"	"Is a delusion a demonstrably true belief?"	"No"	"train"
"Q-000534"	"Psychology"	"1"	"Is personality a completely fixed and unchanging trait throughout life?"	"No"	"train"
"Q-000535"	"Psychology"	"1"	"Is a mood a brief, fleeting emotional state?"	"No"	"train"
"Q-000536"	"Psychology"	"1"	"Is there a single cause for all mental illnesses?"	"No"	"dev"
"Q-000537"	"Psychology"	"1"	"Is it possible to read another person's thoughts directly?"	"Unanswerable"	"train"
"Q-000538"	"Psychology"	"1"	"Can dreams be controlled with perfect reliability?"	"No"	"train"
"Q-000539"	"Psychology"	"1"	"Can specific memories be completely erased without affecting others?"	"Unanswerable"	"train"
"Q-000540"	"Psychology"	"1"	"Is there a universal, objective way to measure happiness?"	"No"	"train"
"Q-000541"	"Psychology"	"2"	"Is classical conditioning a form of learning through association?"	"Yes"	"train"
"Q-000542"	"Psychology"	"2"	"Is operant conditioning a form of learning controlled by consequences?"	"Yes"	"train"
"Q-000543"	"Psychology"	"2"	"Is a cognitive bias a systematic pattern of deviation from rational judgment?"	"Yes"	"dev"
"Q-000544"	"Psychology"	"2"	"Is a defense mechanism an unconscious way to reduce anxiety?"	"Yes"	"train"
"Q-000545"	"Psychology"	"2"	"Is a personality disorder a persistent, unhealthy pattern of thinking and behaving?"	"Yes"	"train"
"Q-000546"	"Psychology"	"2"	"Is confirmation bias the tendency to favor information that proves one's beliefs wrong?"	"No"	"train"
"Q-000547"	"Psychology"	"2"	"Is classical conditioning a type of operant conditioning?"	"No"	"dev"
"Q-000548"	"Psychology"	"2"	"Is cognitive dissonance a state of harmony between beliefs and behaviors?"	"No"	"train"
"Q-000549"	"Psychology"	"2"	"Is a Freudian slip considered an intentional, conscious statement?"	"No"	"train"
"Q-000550"	"Psychology"	"2"	"Is a schema a random, unorganized collection of information?"	"No"	"train"
"Q-000551"	"Psychology"	"2"	"Can subconscious thoughts be directly measured and recorded?"	"No"	"train"
"Q-000552"	"Psychology"	"2"	"Is there a definitive, sharp boundary between normal and abnormal behavior?"	"No"	"dev"
"Q-000553"	"Psychology"	"2"	"Is the nature versus nurture debate completely settled in psychology?"	"No"	"train"
"Q-000554"	"Psychology"	"2"	"Is there one single theory of personality that is universally accepted?"	"No"	"train"
"Q-000555"	"Psychology"	"2"	"Can it be proven that consciousness is not an illusion?"	"Unanswerable"	"train"
"Q-000556"	"Psychology"	"3"	"Is cortisol commonly known as the stress hormone?"	"Yes"	"train"
"Q-000557"	"Psychology"	"3"	"Is the amygdala a brain region involved in processing emotions?"	"Yes"	"train"
"Q-000558"	"Psychology"	"3"	"Is the hippocampus a brain region critical for memory formation?"	"Yes"	"dev"
"Q-000559"	"Psychology"	"3"	"Is the prefrontal cortex involved in complex decision-making?"	"Yes"	"train"
